"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-01","3.22","0.0","0.0",,"70","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-02","0.00","0.0","0.0",,"78","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-03","0.00","0.0","0.0",,"75","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-04","0.14","0.0","0.0",,"71","35"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-05","0.09","0.0","0.0",,"42","34"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-06","0.05","0.0","0.0",,"53","36"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-07","0.00","0.0","0.0",,"53","32"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-08","0.00","0.0","0.0",,"58","35"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-09","0.00","0.0","0.0",,"77","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-10","0.62","0.0","0.0",,"76","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-11","0.29","0.0","0.0",,"76","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-12","0.00","0.0","0.0",,"78","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-13","0.00","0.0","0.0",,"79","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-14","0.00","0.0","0.0",,"70","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-15","0.00","0.0","0.0",,"79","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-16","0.09","0.0","0.0",,"80","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-17","0.02","0.0","0.0",,"75","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-18","0.00","0.0","0.0",,"81","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-19","0.00","0.0","0.0",,"71","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-20","0.00","0.0","0.0",,"59","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-21","0.00","0.0","0.0",,"69","50"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-22","0.00","0.0","0.0",,"80","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-23","0.00","0.0","0.0",,"80","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-24","0.00","0.0","0.0",,"79","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-25","0.00","0.0","0.0",,"82","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-26","0.04","0.0","0.0",,"82","43"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-27","0.00","0.0","0.0",,"49","40"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-28","0.04","0.0","0.0",,"69","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-29","0.01","0.0","0.0",,"80","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-30","0.00","0.0","0.0",,"80","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-01-31","0.01","0.0","0.0",,"79","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-01","0.00","0.0","0.0",,"71","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-02","0.02","0.0","0.0",,"63","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-03","0.00","0.0","0.0",,"54","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-04","0.00","0.0","0.0",,"64","46"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-05","0.00","0.0","0.0",,"72","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-06","0.00","0.0","0.0",,"81","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-07","0.00","0.0","0.0",,"82","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-08","0.00","0.0","0.0",,"82","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-09","0.09","0.0","0.0",,"70","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-10","0.16","0.0","0.0",,"64","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-11","0.45","0.0","0.0",,"74","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-12","1.52","0.0","0.0",,"78","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-13","0.99","0.0","0.0",,"63","44"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-14","0.00","0.0","0.0",,"50","40"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-15","0.00","0.0","0.0",,"66","38"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-16","0.00","0.0","0.0",,"71","46"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-17","0.00","0.0","0.0",,"71","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-18","0.00","0.0","0.0",,"71","49"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-19","0.00","0.0","0.0",,"70","52"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","1950-02-20","0.00","0.0","0.0",,"71","46"
