"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-01","0.00","0.0","0.0",,"77","67"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-02","0.00","0.0","0.0",,"76","67"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-03","0.00","0.0","0.0",,"79","70"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-04","0.00","0.0","0.0",,"80","71"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-05","0.00","0.0","0.0",,"79","72"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-06","0.00","0.0","0.0",,"78","66"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-07","0.00","0.0","0.0",,"80","64"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-08","0.42","0.0","0.0",,"75","67"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-09","0.00","0.0","0.0",,"76","69"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-10","0.00","0.0","0.0",,"78","70"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-11","0.00","0.0","0.0",,"80","65"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-12","0.00","0.0","0.0",,"78","69"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-13","0.00","0.0","0.0",,"79","71"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-14","0.00","0.0","0.0",,"79","67"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-15","0.00","0.0","0.0",,"80","71"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-16","0.00","0.0","0.0",,"80","70"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-17","0.00","0.0","0.0",,"80","68"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-18","0.00","0.0","0.0",,"80","65"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-19","0.00","0.0","0.0",,"80","66"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-20","0.00","0.0","0.0",,"77","63"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-21","0.00","0.0","0.0",,"79","65"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-22","0.05","0.0","0.0",,"80","62"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-23","0.00","0.0","0.0",,"79","63"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-24","0.02","0.0","0.0",,"79","70"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-25","0.01","0.0","0.0",,"80","72"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-26","0.00","0.0","0.0",,"80","73"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-27","0.00","0.0","0.0",,"80","64"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-28","0.00","0.0","0.0",,"80","61"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-29","0.00","0.0","0.0",,"79","65"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-30","0.00","0.0","0.0",,"79","63"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-01-31","0.00","0.0","0.0",,"79","70"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-01","0.00","0.0","0.0",,"81","72"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-02","0.00","0.0","0.0",,"81","66"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-03","0.00","0.0","0.0",,"81","60"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-04","0.00","0.0","0.0",,"82","59"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-05","0.00","0.0","0.0",,"80","62"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-06","0.26","0.0","0.0",,"77","65"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-07","0.00","0.0","0.0",,"77","60"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-08","0.00","0.0","0.0",,"79","58"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-09","0.00","0.0","0.0",,"80","63"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-10","0.00","0.0","0.0",,"79","60"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-11","0.00","0.0","0.0",,"80","62"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-12","0.02","0.0","0.0",,"80","66"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-13","0.00","0.0","0.0",,"79","71"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-14","0.00","0.0","0.0",,"80","70"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-15","0.00","0.0","0.0",,"80","61"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-16","0.00","0.0","0.0",,"72","54"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-17","0.00","0.0","0.0",,"72","46"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-18","0.00","0.0","0.0",,"74","46"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-19","0.00","0.0","0.0",,"77","56"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-20","0.00","0.0","0.0",,"77","50"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-21","0.00","0.0","0.0",,"77","52"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-22","0.00","0.0","0.0",,"79","68"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-23","1.03","0.0","0.0",,"85","69"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-24","0.54","0.0","0.0",,"81","66"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-25","0.00","0.0","0.0",,"79","64"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-26","0.00","0.0","0.0",,"84","66"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-27","0.00","0.0","0.0",,"79","58"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-02-28","0.00","0.0","0.0",,"74","58"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","1950-03-01","0.00","0.0","0.0",,"83","66"
