Series ID,Year,Period,Label,Value,Change in Index,Inflation_Rate
CUURS11ASA0,1980,M01,1980 Jan,78.2,0,0
CUURS11ASA0,1980,M03,1980 Mar,80.6,-2.4,-3.1
CUURS11ASA0,1980,M05,1980 May,81.5,-0.9,-1.1
CUURS11ASA0,1980,M07,1980 Jul,82.9,-1.4,-1.7
CUURS11ASA0,1980,M09,1980 Sep,84.1,-1.2,-1.4
CUURS11ASA0,1980,M11,1980 Nov,85.6,-1.5,-1.8
CUURS11ASA0,1981,M01,1981 Jan,88.2,-2.6,-3.0
CUURS11ASA0,1981,M03,1981 Mar,90.2,-2.0,-2.3
CUURS11ASA0,1981,M05,1981 May,90.7,-0.5,-0.6
CUURS11ASA0,1981,M07,1981 Jul,91.6,-0.9,-1.0
CUURS11ASA0,1981,M09,1981 Sep,93.9,-2.3,-2.5
CUURS11ASA0,1981,M11,1981 Nov,94.3,-0.4,-0.4
CUURS11ASA0,1982,M01,1982 Jan,94.3,0.0,0.0
CUURS11ASA0,1982,M03,1982 Mar,92.8,1.5,1.6
CUURS11ASA0,1982,M05,1982 May,93.8,-1.0,-1.1
CUURS11ASA0,1982,M07,1982 Jul,96.1,-2.3,-2.5
CUURS11ASA0,1982,M09,1982 Sep,97.3,-1.2,-1.2
CUURS11ASA0,1982,M11,1982 Nov,98.1,-0.8,-0.8
CUURS11ASA0,1983,M01,1983 Jan,98.7,-0.6,-0.6
CUURS11ASA0,1983,M03,1983 Mar,98.6,0.1,0.1
CUURS11ASA0,1983,M05,1983 May,99.1,-0.5,-0.5
CUURS11ASA0,1983,M07,1983 Jul,99.7,-0.6,-0.6
CUURS11ASA0,1983,M09,1983 Sep,100.2,-0.5,-0.5
CUURS11ASA0,1983,M11,1983 Nov,101.4,-1.2,-1.2
CUURS11ASA0,1984,M01,1984 Jan,102.3,-0.9,-0.9
CUURS11ASA0,1984,M03,1984 Mar,103.9,-1.6,-1.6
CUURS11ASA0,1984,M05,1984 May,104.3,-0.4,-0.4
CUURS11ASA0,1984,M07,1984 Jul,104.9,-0.6,-0.6
CUURS11ASA0,1984,M09,1984 Sep,105.8,-0.9,-0.9
CUURS11ASA0,1984,M11,1984 Nov,105.9,-0.1,-0.1
CUURS11ASA0,1985,M01,1985 Jan,106.5,-0.6,-0.6
CUURS11ASA0,1985,M03,1985 Mar,108.2,-1.7,-1.6
CUURS11ASA0,1985,M05,1985 May,108.4,-0.2,-0.2
CUURS11ASA0,1985,M07,1985 Jul,109.3,-0.9,-0.8
CUURS11ASA0,1985,M09,1985 Sep,110.5,-1.2,-1.1
CUURS11ASA0,1985,M11,1985 Nov,112.0,-1.5,-1.4
CUURS11ASA0,1986,M01,1986 Jan,112.5,-0.5,-0.4
CUURS11ASA0,1986,M03,1986 Mar,111.8,0.7,0.6
CUURS11ASA0,1986,M05,1986 May,111.0,0.8,0.7
CUURS11ASA0,1986,M07,1986 Jul,111.3,-0.3,-0.3
CUURS11ASA0,1986,M09,1986 Sep,112.9,-1.6,-1.4
CUURS11ASA0,1986,M11,1986 Nov,113.3,-0.4,-0.4
CUURS11ASA0,1987,M01,1987 Jan,114.6,-1.3,-1.1
CUURS11ASA0,1987,M03,1987 Mar,115.9,-1.3,-1.1
CUURS11ASA0,1987,M05,1987 May,115.3,0.6,0.5
CUURS11ASA0,1987,M07,1987 Jul,116.3,-1.0,-0.9
CUURS11ASA0,1987,M09,1987 Sep,119.5,-3.2,-2.8
CUURS11ASA0,1987,M11,1987 Nov,119.9,-0.4,-0.3
CUURS11ASA0,1988,M01,1988 Jan,120.1,-0.2,-0.2
CUURS11ASA0,1988,M03,1988 Mar,122.1,-2.0,-1.7
CUURS11ASA0,1988,M05,1988 May,123.1,-1.0,-0.8
CUURS11ASA0,1988,M07,1988 Jul,123.8,-0.7,-0.6
CUURS11ASA0,1988,M09,1988 Sep,126.2,-2.4,-1.9
CUURS11ASA0,1988,M11,1988 Nov,127.4,-1.2,-1.0
CUURS11ASA0,1989,M01,1989 Jan,129.0,-1.6,-1.3
CUURS11ASA0,1989,M03,1989 Mar,129.7,-0.7,-0.5
CUURS11ASA0,1989,M05,1989 May,130.5,-0.8,-0.6
CUURS11ASA0,1989,M07,1989 Jul,130.3,0.2,0.2
CUURS11ASA0,1989,M09,1989 Sep,132.2,-1.9,-1.5
