Series ID,Year,Period,Label,Value,Change in Index,Inflation_Rate
CUURS11ASAF1,1980,M01,1980 Jan,86.5,0,0
CUURS11ASAF1,1980,M03,1980 Mar,87.6,-1.1,-1.3
CUURS11ASAF1,1980,M05,1980 May,87.8,-0.2,-0.2
CUURS11ASAF1,1980,M07,1980 Jul,89.9,-2.1,-2.4
CUURS11ASAF1,1980,M09,1980 Sep,90.5,-0.6,-0.7
CUURS11ASAF1,1980,M11,1980 Nov,92.0,-1.5,-1.7
CUURS11ASAF1,1981,M01,1981 Jan,95.0,-3.0,-3.3
CUURS11ASAF1,1981,M03,1981 Mar,95.1,-0.1,-0.1
CUURS11ASAF1,1981,M05,1981 May,94.6,0.5,0.5
CUURS11ASAF1,1981,M07,1981 Jul,94.8,-0.2,-0.2
CUURS11ASAF1,1981,M09,1981 Sep,94.0,0.8,0.8
CUURS11ASAF1,1981,M11,1981 Nov,94.2,-0.2,-0.2
CUURS11ASAF1,1982,M01,1982 Jan,96.2,-2.0,-2.1
CUURS11ASAF1,1982,M03,1982 Mar,95.9,0.3,0.3
CUURS11ASAF1,1982,M05,1982 May,96.6,-0.7,-0.7
CUURS11ASAF1,1982,M07,1982 Jul,97.4,-0.8,-0.8
CUURS11ASAF1,1982,M09,1982 Sep,97.1,0.3,0.3
CUURS11ASAF1,1982,M11,1982 Nov,96.9,0.2,0.2
CUURS11ASAF1,1983,M01,1983 Jan,97.4,-0.5,-0.5
CUURS11ASAF1,1983,M03,1983 Mar,98.9,-1.5,-1.5
CUURS11ASAF1,1983,M05,1983 May,98.4,0.5,0.5
CUURS11ASAF1,1983,M07,1983 Jul,99.4,-1.0,-1.0
CUURS11ASAF1,1983,M09,1983 Sep,99.1,0.3,0.3
CUURS11ASAF1,1983,M11,1983 Nov,99.8,-0.7,-0.7
CUURS11ASAF1,1984,M01,1984 Jan,102.2,-2.4,-2.4
CUURS11ASAF1,1984,M03,1984 Mar,103.9,-1.7,-1.7
CUURS11ASAF1,1984,M05,1984 May,104.0,-0.1,-0.1
CUURS11ASAF1,1984,M07,1984 Jul,104.5,-0.5,-0.5
CUURS11ASAF1,1984,M09,1984 Sep,105.0,-0.5,-0.5
CUURS11ASAF1,1984,M11,1984 Nov,104.9,0.1,0.1
CUURS11ASAF1,1985,M01,1985 Jan,106.7,-1.8,-1.7
CUURS11ASAF1,1985,M03,1985 Mar,107.7,-1.0,-0.9
CUURS11ASAF1,1985,M05,1985 May,107.8,-0.1,-0.1
CUURS11ASAF1,1985,M07,1985 Jul,109.2,-1.4,-1.3
CUURS11ASAF1,1985,M09,1985 Sep,109.0,0.2,0.2
CUURS11ASAF1,1985,M11,1985 Nov,109.7,-0.7,-0.6
CUURS11ASAF1,1986,M01,1986 Jan,111.5,-1.8,-1.6
CUURS11ASAF1,1986,M03,1986 Mar,110.4,1.1,1.0
CUURS11ASAF1,1986,M05,1986 May,112.0,-1.6,-1.4
CUURS11ASAF1,1986,M07,1986 Jul,114.0,-2.0,-1.8
CUURS11ASAF1,1986,M09,1986 Sep,116.2,-2.2,-1.9
CUURS11ASAF1,1986,M11,1986 Nov,115.2,1.0,0.9
CUURS11ASAF1,1987,M01,1987 Jan,119.1,-3.9,-3.4
CUURS11ASAF1,1987,M03,1987 Mar,118.1,1.0,0.8
CUURS11ASAF1,1987,M05,1987 May,118.8,-0.7,-0.6
CUURS11ASAF1,1987,M07,1987 Jul,119.1,-0.3,-0.3
CUURS11ASAF1,1987,M09,1987 Sep,120.0,-0.9,-0.8
CUURS11ASAF1,1987,M11,1987 Nov,119.4,0.6,0.5
CUURS11ASAF1,1988,M01,1988 Jan,121.6,-2.2,-1.8
CUURS11ASAF1,1988,M03,1988 Mar,120.3,1.3,1.1
CUURS11ASAF1,1988,M05,1988 May,123.2,-2.9,-2.4
CUURS11ASAF1,1988,M07,1988 Jul,124.7,-1.5,-1.2
CUURS11ASAF1,1988,M09,1988 Sep,127.3,-2.6,-2.1
CUURS11ASAF1,1988,M11,1988 Nov,126.3,1.0,0.8
CUURS11ASAF1,1989,M01,1989 Jan,128.2,-1.9,-1.5
CUURS11ASAF1,1989,M03,1989 Mar,130.4,-2.2,-1.7
CUURS11ASAF1,1989,M05,1989 May,131.8,-1.4,-1.1
CUURS11ASAF1,1989,M07,1989 Jul,133.8,-2.0,-1.5
CUURS11ASAF1,1989,M09,1989 Sep,134.1,-0.3,-0.2
CUURS11ASAF1,1989,M11,1989 Nov,134.1,0.0,0.0
CUURS11ASAF1,1990,M01,1990 Jan,137.4,-3.3,-2.5
CUURS11ASAF1,1990,M03,1990 Mar,138.6,-1.2,-0.9
CUURS11ASAF1,1990,M05,1990 May,138.3,0.3,0.2
CUURS11ASAF1,1990,M07,1990 Jul,138.5,-0.2,-0.1
CUURS11ASAF1,1990,M09,1990 Sep,139.7,-1.2,-0.9
CUURS11ASAF1,1990,M11,1990 Nov,140.6,-0.9,-0.6
CUURS11ASAF1,1991,M01,1991 Jan,142.1,-1.5,-1.1
CUURS11ASAF1,1991,M03,1991 Mar,140.9,1.2,0.8
CUURS11ASAF1,1991,M05,1991 May,143.0,-2.1,-1.5
CUURS11ASAF1,1991,M07,1991 Jul,142.4,0.6,0.4
CUURS11ASAF1,1991,M09,1991 Sep,141.2,1.2,0.8
CUURS11ASAF1,1991,M11,1991 Nov,142.3,-1.1,-0.8
CUURS11ASAF1,1992,M01,1992 Jan,142.8,-0.5,-0.4
CUURS11ASAF1,1992,M03,1992 Mar,143.0,-0.2,-0.1
CUURS11ASAF1,1992,M05,1992 May,141.8,1.2,0.8
CUURS11ASAF1,1992,M07,1992 Jul,142.4,-0.6,-0.4
CUURS11ASAF1,1992,M09,1992 Sep,142.6,-0.2,-0.1
CUURS11ASAF1,1992,M11,1992 Nov,142.9,-0.3,-0.2
CUURS11ASAF1,1993,M01,1993 Jan,145.2,-2.3,-1.6
CUURS11ASAF1,1993,M03,1993 Mar,145.2,0.0,0.0
CUURS11ASAF1,1993,M05,1993 May,146.2,-1.0,-0.7
CUURS11ASAF1,1993,M07,1993 Jul,146.5,-0.3,-0.2
CUURS11ASAF1,1993,M09,1993 Sep,146.4,0.1,0.1
CUURS11ASAF1,1993,M11,1993 Nov,147.0,-0.6,-0.4
CUURS11ASAF1,1994,M01,1994 Jan,148.0,-1.0,-0.7
CUURS11ASAF1,1994,M03,1994 Mar,149.4,-1.4,-0.9
CUURS11ASAF1,1994,M05,1994 May,148.4,1.0,0.7
CUURS11ASAF1,1994,M07,1994 Jul,149.8,-1.4,-0.9
CUURS11ASAF1,1994,M09,1994 Sep,151.1,-1.3,-0.9
CUURS11ASAF1,1994,M11,1994 Nov,150.4,0.7,0.5
CUURS11ASAF1,1995,M01,1995 Jan,155.4,-5.0,-3.3
CUURS11ASAF1,1995,M03,1995 Mar,152.9,2.5,1.6
