DATE,deaths,injuries
1956-06-13,0,0
1956-08-10,0,0
1958-08-08,0,0
1958-08-15,0,0
1959-07-02,0,0
1964-07-01,0,0
1965-08-28,0,0
1966-06-06,0,0
1966-06-15,0,0
1967-05-25,0,0
1969-03-25,0,0
1969-06-20,0,0
1973-09-06,0,0
1976-03-21,0,0
1979-04-06,0,0
1980-07-11,0,0
1981-06-09,0,0
1983-08-27,0,0
1983-08-28,0,0
1986-08-08,0,0
1987-06-13,0,0
1988-06-22,0,0
1989-06-02,0,0
1989-07-07,0,0
1989-08-02,0,0
1991-06-12,0,0
1994-07-25,0,0
1995-09-14,0,1
1995-10-28,0,0
1996-01-02,0,0
1996-01-07,0,0
1996-01-19,0,0
1996-01-27,0,0
1996-02-16,0,0
1996-02-25,0,0
1996-03-02,0,0
1996-03-03,0,0
1996-03-07,0,0
1996-04-07,0,0
1996-04-09,0,0
1996-07-13,0,0
1996-09-18,0,0
1996-10-08,0,0
1996-10-20,0,0
1996-10-21,0,0
1996-12-06,0,0
1996-12-07,0,0
1996-12-24,0,0
1997-01-31,0,0
1997-02-22,0,0
1997-03-06,0,0
1997-03-31,0,0
1997-04-01,0,1
1997-04-19,0,0
1997-06-22,0,2
1997-08-21,0,0
1997-08-22,0,0
1997-11-01,0,0
1997-11-27,0,0
1997-12-02,0,0
1997-12-14,0,0
1997-12-23,0,0
1997-12-29,0,0
1998-01-15,0,0
1998-02-18,0,0
1998-02-24,0,1
1998-03-08,0,0
1998-03-09,0,0
1998-03-21,0,0
1998-03-26,0,0
1998-03-27,0,0
1998-03-28,0,0
1998-03-31,0,0
1998-04-09,0,0
1998-04-23,0,0
1998-05-09,0,0
1998-06-13,0,0
1998-06-27,0,0
1998-09-15,0,0
1998-09-27,0,0
1998-10-01,0,0
1998-10-08,0,0
1998-11-11,0,0
1998-11-26,0,0
1998-12-01,0,0
1998-12-07,0,0
1998-12-22,0,0
1998-12-30,0,0
1999-01-03,0,0
1999-01-14,0,0
1999-01-18,0,0
1999-01-24,0,0
1999-02-02,0,0
1999-02-12,0,0
1999-02-25,0,0
1999-03-04,0,0
1999-03-06,0,0
1999-03-15,0,0
1999-03-18,0,0
1999-03-22,0,0
1999-04-30,0,0
1999-06-07,0,0
1999-06-30,0,0
1999-07-04,0,0
1999-07-05,2,0
1999-07-14,0,0
1999-07-17,0,0
1999-07-24,0,0
1999-07-25,0,0
1999-09-08,0,0
1999-09-10,0,0
1999-09-16,0,0
1999-10-14,0,0
1999-11-02,0,0
1999-12-11,0,0
2000-01-04,0,0
2000-01-10,0,0
2000-01-13,0,0
2000-01-16,0,0
2000-01-21,0,0
2000-02-14,0,0
2000-02-18,0,0
2000-03-28,0,0
2000-04-08,0,0
2000-04-22,0,0
2000-05-10,0,0
2000-05-18,0,0
2000-06-02,0,0
2000-06-06,0,0
2000-06-27,0,0
2000-07-08,0,0
2000-07-18,0,0
2000-10-09,0,0
2000-10-30,0,0
2000-12-12,0,0
2000-12-17,0,0
2001-01-20,0,0
2001-02-05,0,0
2001-02-10,0,0
2001-02-11,0,0
2001-02-17,0,0
2001-02-25,0,0
2001-03-05,0,0
2001-03-30,0,0
2001-05-03,0,0
2001-05-04,0,0
2001-05-12,0,0
2001-07-10,1,0
2001-08-03,0,0
2002-06-27,0,0
2002-07-23,0,0
2002-11-06,0,0
2002-12-25,0,0
2003-01-04,0,0
2003-02-07,0,0
2003-02-17,0,0
2003-03-06,0,0
2003-05-25,1,2
2003-10-15,0,1
2003-11-13,0,0
2003-12-05,0,0
2003-12-06,0,0
2004-03-16,0,0
2004-07-02,0,1
2004-08-21,0,0
2004-11-05,0,0
2004-12-26,0,0
2005-01-05,0,0
2005-01-22,0,0
2005-01-23,0,0
2005-02-21,0,0
2005-02-24,0,0
2005-03-01,0,0
2005-03-08,0,0
2005-05-07,0,0
2005-05-24,0,0
2005-05-25,0,0
2005-07-06,0,0
2005-08-05,0,0
2005-09-29,0,0
2005-10-16,0,0
2005-10-25,0,0
2005-12-09,0,0
2005-12-16,0,0
2006-01-15,0,0
2006-01-18,0,0
2006-01-21,0,0
2006-01-31,0,0
2006-02-12,0,0
2006-02-17,0,0
2006-05-13,0,0
2006-05-21,0,0
2006-06-23,0,0
2006-07-28,0,0
2006-09-24,0,0
2006-10-28,0,0
2006-10-29,0,0
2007-01-20,0,0
2007-02-03,1,0
2007-02-14,0,0
2007-03-16,0,0
2007-04-15,0,0
2007-04-16,0,0
2007-04-17,0,0
2007-07-06,0,0
2007-07-28,0,0
2007-11-03,0,0
2007-12-16,0,0
2007-12-19,0,0
2008-01-14,0,0
2008-02-10,0,0
2008-02-13,0,0
2008-02-22,0,0
2008-06-24,0,0
2008-06-27,0,0
2008-07-20,0,10
2008-08-02,0,2
2008-08-03,0,0
2008-08-10,0,0
2008-09-09,0,0
2008-11-15,0,0
2008-12-19,0,0
2008-12-31,0,0
2009-01-18,0,0
2009-01-19,0,0
2009-03-01,0,0
2009-10-18,0,0
2009-10-31,0,0
2009-11-28,0,0
2009-12-19,0,0
2010-01-02,0,0
2010-02-25,0,0
2010-03-14,0,0
2010-04-29,0,0
2010-05-08,0,0
2010-06-01,0,0
2010-06-03,0,0
2010-06-05,0,0
2010-06-06,0,0
2010-06-24,0,0
2010-07-06,0,0
2010-07-10,0,0
2010-08-05,1,0
2010-08-25,0,0
2010-10-01,0,0
2010-10-15,0,0
2010-12-12,0,1
2010-12-26,0,0
2010-12-27,0,0
2011-01-12,0,0
2011-01-21,0,0
2011-01-26,0,0
2011-02-01,0,0
2011-05-07,0,0
2011-06-01,0,0
2011-07-22,0,0
2011-08-19,0,0
2011-08-21,0,1
2011-08-28,0,0
2011-10-29,0,0
2011-11-23,0,0
2011-12-27,0,0
2012-01-21,0,0
2012-02-25,0,0
2012-04-12,0,0
2012-04-23,0,0
2012-05-01,0,0
2012-06-03,0,0
2012-06-04,0,0
2012-06-08,0,0
2012-07-04,0,2
2012-07-18,0,0
2012-09-08,0,0
2012-09-18,0,0
2012-10-29,0,0
2012-12-21,0,0
2012-12-27,0,0
2013-01-31,0,0
2013-02-08,0,0
2013-02-09,0,0
2013-02-17,0,0
2013-03-07,0,0
2013-03-18,0,0
2013-06-07,0,0
2013-06-17,0,0
2013-07-23,0,0
2013-09-01,0,0
2013-10-07,0,0
2013-11-01,0,0
2013-11-24,0,0
2013-11-27,0,0
2013-12-15,0,0
2013-12-17,0,0
2014-01-02,0,0
2014-01-03,0,0
2014-02-05,0,0
2014-03-26,0,0
2014-04-15,0,0
2014-04-24,0,0
2014-07-03,0,0
2014-07-28,0,2
2014-08-13,0,0
2014-10-22,0,0
2014-10-23,0,0
2014-11-02,0,0
2015-01-05,0,0
2015-01-24,0,0
2015-01-26,0,0
2015-01-27,0,0
2015-02-02,0,0
2015-02-08,0,0
2015-02-14,0,0
2015-02-16,0,0
2015-03-17,0,0
2015-04-04,0,0
2015-08-04,0,0
2015-10-28,0,0
2015-10-29,0,0
2016-01-10,0,0
2016-01-23,0,0
2016-01-24,0,0
2016-02-05,0,0
2016-02-08,0,0
2016-02-14,0,0
2016-02-25,0,0
2016-03-01,0,0
2016-03-17,0,0
2016-03-21,0,0
2016-03-31,0,0
2016-04-04,0,0
2016-04-07,0,0
2016-06-29,0,0
2016-07-18,0,0
2016-07-23,0,1
2016-07-26,0,0
2016-08-01,0,0
2016-09-01,0,0
2016-10-01,0,0
2016-10-21,0,0
2016-10-23,0,0
2016-11-01,0,0
2016-11-20,0,0
2016-12-01,0,0
2016-12-15,0,0
2016-12-17,0,0
2016-12-18,0,0
2016-12-27,0,0
2017-01-01,0,0
2017-01-07,0,0
2017-01-23,0,0
2017-02-08,0,0
2017-02-09,0,0
2017-03-02,0,0
2017-03-14,0,0
2017-06-13,0,0
2017-06-27,0,0
2017-07-12,0,0
2017-07-18,0,0
2017-08-02,0,0
2017-09-14,0,0
2017-09-21,0,0
2017-09-30,0,0
2017-10-24,0,0
2017-10-26,0,0
2017-10-29,0,0
2017-10-30,0,0
2017-11-19,0,0
2017-12-09,0,0
2017-12-22,0,1
2017-12-25,0,0
