Series ID,Year,Period,Label,Pre Value,Value,Change in Index,Inflation_Rate
CUURS23ASA0,1980,M02,1980 Feb,77.9,77.5,0,0
CUURS23ASA0,1980,M04,1980 Apr,80.4,79.6,2.1,2.709677419
CUURS23ASA0,1980,M06,1980 Jun,83.1,82.25,2.65,3.329145729
CUURS23ASA0,1980,M08,1980 Aug,82.1,82.35,0.1,0.121580547
CUURS23ASA0,1980,M10,1980 Oct,84.9,84.3,1.95,2.367941712
CUURS23ASA0,1980,M12,1980 Dec,87.1,87.05,2.75,3.262158956
CUURS23ASA0,1981,M02,1981 Feb,86.9,86.8,-0.25,-0.287191269
CUURS23ASA0,1981,M04,1981 Apr,88.3,87.6,0.8,0.921658986
CUURS23ASA0,1981,M06,1981 Jun,90.1,89.3,1.7,1.940639269
CUURS23ASA0,1981,M08,1981 Aug,92.3,91.8,2.5,2.799552072
CUURS23ASA0,1981,M10,1981 Oct,92.4,92.55,0.75,0.816993464
CUURS23ASA0,1981,M12,1981 Dec,91.7,92.2,-0.35,-0.37817396
CUURS23ASA0,1982,M02,1982 Feb,92,92.1,-0.1,-0.10845987
CUURS23ASA0,1982,M04,1982 Apr,93.8,93.15,1.05,1.140065147
CUURS23ASA0,1982,M06,1982 Jun,97.7,97,3.85,4.133118626
CUURS23ASA0,1982,M08,1982 Aug,98.1,98.1,1.1,1.134020619
CUURS23ASA0,1982,M10,1982 Oct,98.5,98.45,0.35,0.356778797
CUURS23ASA0,1982,M12,1982 Dec,98.1,98.3,-0.15,-0.152361605
CUURS23ASA0,1983,M02,1983 Feb,98.3,98.35,0.05,0.0508647
CUURS23ASA0,1983,M04,1983 Apr,98.8,98.55,0.2,0.203355363
CUURS23ASA0,1983,M06,1983 Jun,99.9,99.55,1,1.014713343
CUURS23ASA0,1983,M08,1983 Aug,101,100.65,1.1,1.104972376
CUURS23ASA0,1983,M10,1983 Oct,101.2,101.3,0.65,0.645802285
CUURS23ASA0,1983,M12,1983 Dec,101.7,101.7,0.4,0.394866732
CUURS23ASA0,1984,M02,1984 Feb,102.1,102.15,0.45,0.442477876
CUURS23ASA0,1984,M04,1984 Apr,102.7,102.5,0.35,0.342633382
CUURS23ASA0,1984,M06,1984 Jun,103.7,103.25,0.75,0.731707317
CUURS23ASA0,1984,M08,1984 Aug,104.9,104.45,1.2,1.162227603
CUURS23ASA0,1984,M10,1984 Oct,105.1,105.3,0.85,0.813786501
CUURS23ASA0,1984,M12,1984 Dec,105.1,105.1,-0.2,-0.189933523
CUURS23ASA0,1985,M02,1985 Feb,106,105.75,0.65,0.618458611
CUURS23ASA0,1985,M04,1985 Apr,106.8,106.5,0.75,0.709219858
CUURS23ASA0,1985,M06,1985 Jun,108.5,107.75,1.25,1.17370892
CUURS23ASA0,1985,M08,1985 Aug,109.1,108.85,1.1,1.020881671
CUURS23ASA0,1985,M10,1985 Oct,108,108.6,-0.25,-0.229673863
CUURS23ASA0,1985,M12,1985 Dec,109.1,108.8,0.2,0.184162063
CUURS23ASA0,1986,M02,1986 Feb,109.3,109.25,0.45,0.413602941
CUURS23ASA0,1986,M04,1986 Apr,108.3,108.35,-0.9,-0.823798627
CUURS23ASA0,1986,M06,1986 Jun,110.6,109.55,1.2,1.10752192
