Series ID,Year,Period,Label,Pre-Value,Value,Change in Index,Inflation_Rate
CUURS23ASAF1,1980,M02,1980 Feb,87.6,87.1,0,0
CUURS23ASAF1,1980,M04,1980 Apr,89.6,89.3,2.2,2.5
CUURS23ASAF1,1980,M06,1980 Jun,90.4,90.3,1.1,1.2
CUURS23ASAF1,1980,M08,1980 Aug,92.6,92.0,1.7,1.9
CUURS23ASAF1,1980,M10,1980 Oct,94.1,93.8,1.8,2.0
CUURS23ASAF1,1980,M12,1980 Dec,95.1,94.8,1.0,1.1
CUURS23ASAF1,1981,M02,1981 Feb,96.4,96.1,1.3,1.3
CUURS23ASAF1,1981,M04,1981 Apr,96.0,96.2,0.2,0.2
CUURS23ASAF1,1981,M06,1981 Jun,96.3,95.9,-0.3,-0.3
CUURS23ASAF1,1981,M08,1981 Aug,97.2,96.9,1.0,1.0
CUURS23ASAF1,1981,M10,1981 Oct,97.1,97.1,0.2,0.2
CUURS23ASAF1,1981,M12,1981 Dec,96.7,96.7,-0.4,-0.4
CUURS23ASAF1,1982,M02,1982 Feb,97.6,97.6,0.9,0.9
CUURS23ASAF1,1982,M04,1982 Apr,98.5,98.0,0.4,0.4
CUURS23ASAF1,1982,M06,1982 Jun,100.1,99.8,1.9,1.9
CUURS23ASAF1,1982,M08,1982 Aug,99.2,99.4,-0.4,-0.4
CUURS23ASAF1,1982,M10,1982 Oct,98.8,98.9,-0.6,-0.6
CUURS23ASAF1,1982,M12,1982 Dec,98.8,98.8,-0.1,-0.1
CUURS23ASAF1,1983,M02,1983 Feb,99.7,99.8,1.0,1.0
CUURS23ASAF1,1983,M04,1983 Apr,99.8,99.8,0.0,0.0
CUURS23ASAF1,1983,M06,1983 Jun,99.3,99.4,-0.4,-0.4
CUURS23ASAF1,1983,M08,1983 Aug,98.3,98.4,-1.1,-1.1
CUURS23ASAF1,1983,M10,1983 Oct,99.2,99.2,0.8,0.8
CUURS23ASAF1,1983,M12,1983 Dec,99.5,99.6,0.5,0.5
CUURS23ASAF1,1984,M02,1984 Feb,102.8,102.4,2.8,2.8
CUURS23ASAF1,1984,M04,1984 Apr,102.1,102.2,-0.2,-0.2
CUURS23ASAF1,1984,M06,1984 Jun,101.3,101.5,-0.7,-0.6
CUURS23ASAF1,1984,M08,1984 Aug,102.4,102.2,0.7,0.7
CUURS23ASAF1,1984,M10,1984 Oct,101.9,102.0,-0.3,-0.2
CUURS23ASAF1,1984,M12,1984 Dec,101.8,101.5,-0.5,-0.5
CUURS23ASAF1,1985,M02,1985 Feb,104.0,103.3,1.8,1.8
CUURS23ASAF1,1985,M04,1985 Apr,103.6,103.9,0.6,0.6
CUURS23ASAF1,1985,M06,1985 Jun,104.1,103.6,-0.3,-0.2
CUURS23ASAF1,1985,M08,1985 Aug,104.0,103.9,0.3,0.2
CUURS23ASAF1,1985,M10,1985 Oct,104.1,104.1,0.3,0.2
CUURS23ASAF1,1985,M12,1985 Dec,106.8,106.1,2.0,1.9
CUURS23ASAF1,1986,M02,1986 Feb,107.7,107.2,1.1,1.0
