EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
277975,COOK (ZONE), ,01/16/2011,0,Cold/Wind Chill, , ,1,0,0,0,IL,CST-6, ,47678,Z,14,LOT,0,0,County Official, , , , , , , , ,01/16/2011,1200, , , , 
277980,COOK (ZONE), ,01/21/2011,1800,Cold/Wind Chill, , ,1,0,0,0,IL,CST-6, ,47679,Z,14,LOT,0,0,County Official, , , , , , , , ,01/24/2011,1200, , , , 
281992,COOK (ZONE), ,02/01/2011,900,Blizzard, , ,1,0,200000,0,IL,CST-6, ,48292,Z,14,LOT,0,4,Trained Spotter, , , , , , , , ,02/02/2011,1200, , , , 
287873,COOK (ZONE), ,02/03/2011,2000,Cold/Wind Chill, , ,1,0,0,0,IL,CST-6, ,49133,Z,14,LOT,0,0,County Official, , , , , , , , ,02/04/2011,900, , , , 
288072,COOK (ZONE), ,02/20/2011,1800,Cold/Wind Chill, , ,1,0,0,0,IL,CST-6, ,49173,Z,14,LOT,0,0,County Official, , , , , , , , ,02/21/2011,900, , , , 
294833,COOK (ZONE), ,03/14/2011,2200,Cold/Wind Chill, , ,1,0,0,0,IL,CST-6, ,50138,Z,14,LOT,0,0,County Official, , , , , , , , ,03/15/2011,900, , , , 
299091,COOK (ZONE), ,04/13/2011,0,Cold/Wind Chill, , ,1,0,0,0,IL,CST-6, ,50701,Z,14,LOT,0,0,County Official, , , , , , , , ,04/13/2011,900, , , , 
295446,COOK CO.,ARLINGTON HGTS,04/19/2011,1815,Hail,0.88, ,0,0,0,0,IL,CST-6, ,50207,C,31,LOT,0,0,Trained Spotter, , , ,0,N,0,N,ARLINGTON HGTS,04/19/2011,1816,42.08,-88,42.08,-88
295447,COOK CO.,ORLAND PARK,04/19/2011,1830,Hail,0.75, ,0,0,0,0,IL,CST-6, ,50207,C,31,LOT,0,0,Trained Spotter, , , ,0,N,0,N,ORLAND PARK,04/19/2011,1831,41.63,-87.87,41.63,-87.87
295448,COOK CO.,SCHAUMBURG,04/19/2011,1834,Hail,0.88, ,0,0,0,0,IL,CST-6, ,50207,C,31,LOT,0,0,Public, , , ,1,E,1,E,SCHAUMBURG,04/19/2011,1835,42.0281,-88.0604,42.0281,-88.0604
