DATE,deaths,injuries
1954-10-10,0,0
1955-03-03,0,0
1955-04-18,0,0
1955-05-26,0,2
1955-07-05,0,0
1956-03-05,0,0
1956-03-06,0,0
1956-04-02,0,0
1956-04-27,0,0
1956-07-19,0,0
1956-08-18,0,0
1956-08-23,0,3
1957-03-14,0,0
1957-07-12,0,0
1957-08-02,0,0
1958-08-30,0,0
1958-10-09,0,0
1959-05-03,0,0
1959-05-26,0,0
1959-07-10,0,0
1959-09-21,0,0
1959-09-26,0,14
1959-09-27,0,0
1960-04-16,0,0
1960-04-30,0,0
1960-06-15,0,0
1960-08-03,0,0
1960-09-08,0,0
1961-03-04,1,115
1961-04-24,0,0
1961-06-13,0,0
1961-06-24,0,0
1962-04-30,0,0
1962-05-12,0,0
1962-06-08,0,0
1962-06-23,0,10
1962-07-22,0,0
1963-04-17,0,0
1963-06-08,0,0
1963-06-10,0,0
1963-07-19,0,0
1963-07-21,0,0
1963-07-22,0,0
1963-08-02,0,0
1963-08-16,0,0
1963-11-17,0,0
1964-04-24,0,0
1964-05-08,0,0
1964-06-19,0,0
1964-06-22,0,0
1964-07-28,0,0
1965-04-11,0,0
1965-05-26,0,0
1965-06-05,0,0
1965-06-08,0,0
1965-06-20,0,0
1965-06-23,0,0
1965-07-17,0,0
1965-08-06,0,0
1965-08-18,0,0
1965-08-26,0,0
1965-11-12,0,0
1965-12-24,0,0
1966-03-21,0,0
1966-06-09,1,30
1966-07-11,0,0
1966-07-13,0,0
1966-07-18,0,0
1966-07-28,0,0
1967-04-21,33,500
1967-06-10,0,0
1967-06-16,0,0
1967-07-11,0,0
1967-07-23,0,0
1967-08-03,0,0
1967-10-24,0,0
1968-05-15,0,0
1968-06-09,0,0
1968-06-18,0,0
1968-06-23,0,0
1968-07-23,0,0
1969-05-31,0,0
1969-06-19,0,0
1969-06-29,0,0
1970-04-29,0,0
1970-04-30,0,9
1970-05-09,0,0
1970-05-29,0,0
1970-07-02,0,0
1970-07-14,0,0
1970-08-18,0,0
1971-02-19,0,0
1971-03-14,0,0
1971-05-24,0,0
1971-07-08,0,0
1971-08-10,0,0
1972-06-19,0,2
1972-07-14,0,0
1972-08-22,0,0
1972-08-25,0,1
1972-09-28,0,0
1973-04-21,0,0
1973-06-16,0,0
1974-03-04,0,0
1974-04-03,0,0
1974-05-21,0,0
1974-06-20,0,0
1974-07-14,0,0
1975-01-10,0,0
1975-05-20,0,0
1975-06-04,0,0
1975-06-13,0,0
1975-06-17,0,0
1975-06-18,0,0
1975-06-20,0,0
1975-06-22,0,0
1975-06-24,0,0
1975-07-23,0,0
1975-08-11,0,0
1975-08-20,0,0
1975-11-09,0,0
1975-11-10,0,0
1976-03-01,0,0
1976-03-04,0,0
1976-03-12,2,41
1976-06-13,2,23
1976-06-27,0,0
1976-07-14,0,0
1976-07-23,0,0
1977-03-28,0,0
1977-05-05,0,0
1977-06-08,0,0
1977-06-30,0,0
1977-07-20,0,0
1977-09-07,0,0
1978-04-18,0,0
1978-06-07,0,0
1978-07-26,0,0
1978-08-15,0,0
1978-08-19,0,0
1979-05-13,0,0
1980-07-05,0,0
1980-07-16,0,0
1980-07-21,0,0
1980-08-04,0,0
1980-08-07,0,0
1980-08-13,0,0
1980-09-02,0,0
1980-09-22,0,0
1981-04-03,0,0
1981-04-13,0,0
1982-04-03,0,0
1982-05-15,0,0
1982-08-01,0,0
1982-08-24,0,0
1982-12-28,0,0
1983-03-06,0,0
1983-05-29,0,3
1983-07-01,0,0
1983-07-02,0,0
1983-07-19,0,0
