Series ID,Year,Period,Label,Value,Change in Index,Inflation_Rate
CUURS37BSAF1,1980,M02,1980 Feb,80.9,0,0
CUURS37BSAF1,1980,M04,1980 Apr,81.8,0.9,1.1
CUURS37BSAF1,1980,M06,1980 Jun,82.2,0.4,0.5
CUURS37BSAF1,1980,M08,1980 Aug,84.8,2.6,3.2
CUURS37BSAF1,1980,M10,1980 Oct,87.4,2.6,3.1
CUURS37BSAF1,1980,M12,1980 Dec,88.2,0.8,0.9
CUURS37BSAF1,1981,M02,1981 Feb,90.0,1.8,2.0
CUURS37BSAF1,1981,M04,1981 Apr,91.1,1.1,1.2
CUURS37BSAF1,1981,M06,1981 Jun,91.7,0.6,0.7
CUURS37BSAF1,1981,M08,1981 Aug,93.3,1.6,1.7
CUURS37BSAF1,1981,M10,1981 Oct,93.4,0.1,0.1
CUURS37BSAF1,1981,M12,1981 Dec,93.3,-0.1,-0.1
CUURS37BSAF1,1982,M02,1982 Feb,94.7,1.4,1.5
CUURS37BSAF1,1982,M04,1982 Apr,95.3,0.6,0.6
CUURS37BSAF1,1982,M06,1982 Jun,96.7,1.4,1.5
CUURS37BSAF1,1982,M08,1982 Aug,97.6,0.9,0.9
CUURS37BSAF1,1982,M10,1982 Oct,97.6,0.0,0.0
CUURS37BSAF1,1982,M12,1982 Dec,97.8,0.2,0.2
CUURS37BSAF1,1983,M02,1983 Feb,98.3,0.5,0.5
CUURS37BSAF1,1983,M04,1983 Apr,98.9,0.6,0.6
CUURS37BSAF1,1983,M06,1983 Jun,99.6,0.7,0.7
CUURS37BSAF1,1983,M08,1983 Aug,99.8,0.2,0.2
CUURS37BSAF1,1983,M10,1983 Oct,99.6,-0.2,-0.2
CUURS37BSAF1,1983,M12,1983 Dec,99.6,0.0,0.0
CUURS37BSAF1,1984,M02,1984 Feb,104.0,4.4,4.4
CUURS37BSAF1,1984,M04,1984 Apr,104.4,0.4,0.4
CUURS37BSAF1,1984,M06,1984 Jun,104.4,0.0,0.0
CUURS37BSAF1,1984,M08,1984 Aug,104.7,0.3,0.3
CUURS37BSAF1,1984,M10,1984 Oct,104.8,0.1,0.1
CUURS37BSAF1,1984,M12,1984 Dec,105.5,0.7,0.7
CUURS37BSAF1,1985,M02,1985 Feb,105.5,0.0,0.0
CUURS37BSAF1,1985,M04,1985 Apr,104.6,-0.9,-0.9
CUURS37BSAF1,1985,M06,1985 Jun,104.7,0.1,0.1
CUURS37BSAF1,1985,M08,1985 Aug,105.1,0.4,0.4
CUURS37BSAF1,1985,M10,1985 Oct,104.7,-0.4,-0.4
CUURS37BSAF1,1985,M12,1985 Dec,106.0,1.3,1.2
CUURS37BSAF1,1986,M02,1986 Feb,106.4,0.4,0.4
CUURS37BSAF1,1986,M04,1986 Apr,106.3,-0.1,-0.1
CUURS37BSAF1,1986,M06,1986 Jun,106.9,0.6,0.6
CUURS37BSAF1,1986,M08,1986 Aug,107.8,0.9,0.8
CUURS37BSAF1,1986,M10,1986 Oct,108.6,0.8,0.7
CUURS37BSAF1,1986,M12,1986 Dec,109.5,0.9,0.8
CUURS37BSAF1,1987,M02,1987 Feb,111.8,2.3,2.1
CUURS37BSAF1,1987,M04,1987 Apr,111.8,0.0,0.0
CUURS37BSAF1,1987,M06,1987 Jun,112.0,0.2,0.2
CUURS37BSAF1,1987,M08,1987 Aug,111.7,-0.3,-0.3
CUURS37BSAF1,1987,M10,1987 Oct,113.4,1.7,1.5
CUURS37BSAF1,1987,M12,1987 Dec,112.7,-0.7,-0.6
CUURS37BSAF1,1988,M02,1988 Feb,113.9,1.2,1.1
CUURS37BSAF1,1988,M04,1988 Apr,114.2,0.3,0.3
CUURS37BSAF1,1988,M06,1988 Jun,114.4,0.2,0.2
CUURS37BSAF1,1988,M08,1988 Aug,118.0,3.6,3.1
CUURS37BSAF1,1988,M10,1988 Oct,120.2,2.2,1.9
CUURS37BSAF1,1988,M12,1988 Dec,118.8,-1.4,-1.2
CUURS37BSAF1,1989,M02,1989 Feb,122.3,3.5,2.9
CUURS37BSAF1,1989,M04,1989 Apr,122.4,0.1,0.1
CUURS37BSAF1,1989,M06,1989 Jun,122.3,-0.1,-0.1
CUURS37BSAF1,1989,M08,1989 Aug,121.5,-0.8,-0.7
CUURS37BSAF1,1989,M10,1989 Oct,122.3,0.8,0.7
CUURS37BSAF1,1989,M12,1989 Dec,124.1,1.8,1.5
CUURS37BSAF1,1990,M02,1990 Feb,128.6,4.5,3.6
CUURS37BSAF1,1990,M04,1990 Apr,127.6,-1.0,-0.8
CUURS37BSAF1,1990,M06,1990 Jun,129.2,1.6,1.3
CUURS37BSAF1,1990,M08,1990 Aug,129.7,0.5,0.4
CUURS37BSAF1,1990,M10,1990 Oct,131.8,2.1,1.6
CUURS37BSAF1,1990,M12,1990 Dec,129.6,-2.2,-1.7
CUURS37BSAF1,1991,M02,1991 Feb,131.7,2.1,1.6
CUURS37BSAF1,1991,M04,1991 Apr,131.5,-0.2,-0.2
CUURS37BSAF1,1991,M06,1991 Jun,130.2,-1.3,-1.0
CUURS37BSAF1,1991,M08,1991 Aug,130.4,0.2,0.2
CUURS37BSAF1,1991,M10,1991 Oct,131.2,0.8,0.6
CUURS37BSAF1,1991,M12,1991 Dec,130.9,-0.3,-0.2
CUURS37BSAF1,1992,M02,1992 Feb,132.0,1.1,0.8
CUURS37BSAF1,1992,M04,1992 Apr,131.3,-0.7,-0.5
CUURS37BSAF1,1992,M06,1992 Jun,128.8,-2.5,-1.9
CUURS37BSAF1,1992,M08,1992 Aug,128.5,-0.3,-0.2
CUURS37BSAF1,1992,M10,1992 Oct,128.4,-0.1,-0.1
CUURS37BSAF1,1992,M12,1992 Dec,129.3,0.9,0.7
CUURS37BSAF1,1993,M02,1993 Feb,131.2,1.9,1.5
CUURS37BSAF1,1993,M04,1993 Apr,127.5,-3.7,-2.8
CUURS37BSAF1,1993,M06,1993 Jun,129.1,1.6,1.3
CUURS37BSAF1,1993,M08,1993 Aug,132.4,3.3,2.6
CUURS37BSAF1,1993,M10,1993 Oct,134.1,1.7,1.3
CUURS37BSAF1,1993,M12,1993 Dec,135.9,1.8,1.3
CUURS37BSAF1,1994,M02,1994 Feb,135.4,-0.5,-0.4
CUURS37BSAF1,1994,M04,1994 Apr,136.5,1.1,0.8
CUURS37BSAF1,1994,M06,1994 Jun,135.5,-1.0,-0.7
CUURS37BSAF1,1994,M08,1994 Aug,137.6,2.1,1.5
CUURS37BSAF1,1994,M10,1994 Oct,137.2,-0.4,-0.3
CUURS37BSAF1,1994,M12,1994 Dec,139.5,2.3,1.7
CUURS37BSAF1,1995,M02,1995 Feb,139.5,0.0,0.0
CUURS37BSAF1,1995,M04,1995 Apr,140.4,0.9,0.6
CUURS37BSAF1,1995,M06,1995 Jun,138.9,-1.5,-1.1
CUURS37BSAF1,1995,M08,1995 Aug,139.3,0.4,0.3
CUURS37BSAF1,1995,M10,1995 Oct,139.9,0.6,0.4
CUURS37BSAF1,1995,M12,1995 Dec,140.4,0.5,0.4
