Series ID,Year,Period,Label,Value,Change in Index,Inflation_Rate
CUURS37BSA0,1980,M02,1980 Feb,79.8,0,0
CUURS37BSA0,1980,M04,1980 Apr,81.3,1.5,1.9
CUURS37BSA0,1980,M06,1980 Jun,83.1,1.8,2.2
CUURS37BSA0,1980,M08,1980 Aug,83.7,0.6,0.7
CUURS37BSA0,1980,M10,1980 Oct,84.9,1.2,1.4
CUURS37BSA0,1980,M12,1980 Dec,85.7,0.8,0.9
CUURS37BSA0,1981,M02,1981 Feb,87.8,2.1,2.5
CUURS37BSA0,1981,M04,1981 Apr,89.3,1.5,1.7
CUURS37BSA0,1981,M06,1981 Jun,91.3,2.0,2.2
CUURS37BSA0,1981,M08,1981 Aug,91.9,0.6,0.7
CUURS37BSA0,1981,M10,1981 Oct,93.5,1.6,1.7
CUURS37BSA0,1981,M12,1981 Dec,94.4,0.9,1.0
CUURS37BSA0,1982,M02,1982 Feb,94.8,0.4,0.4
CUURS37BSA0,1982,M04,1982 Apr,95.1,0.3,0.3
CUURS37BSA0,1982,M06,1982 Jun,97.9,2.8,2.9
CUURS37BSA0,1982,M08,1982 Aug,99.3,1.4,1.4
CUURS37BSA0,1982,M10,1982 Oct,99.0,-0.3,-0.3
CUURS37BSA0,1982,M12,1982 Dec,99.2,0.2,0.2
CUURS37BSA0,1983,M02,1983 Feb,98.9,-0.3,-0.3
CUURS37BSA0,1983,M04,1983 Apr,98.7,-0.2,-0.2
CUURS37BSA0,1983,M06,1983 Jun,100.2,1.5,1.5
CUURS37BSA0,1983,M08,1983 Aug,101.0,0.8,0.8
CUURS37BSA0,1983,M10,1983 Oct,101.1,0.1,0.1
CUURS37BSA0,1983,M12,1983 Dec,100.0,-1.1,-1.1
CUURS37BSA0,1984,M02,1984 Feb,100.9,0.9,0.9
CUURS37BSA0,1984,M04,1984 Apr,101.5,0.6,0.6
CUURS37BSA0,1984,M06,1984 Jun,103.0,1.5,1.5
CUURS37BSA0,1984,M08,1984 Aug,103.5,0.5,0.5
CUURS37BSA0,1984,M10,1984 Oct,104.3,0.8,0.8
CUURS37BSA0,1984,M12,1984 Dec,103.9,-0.4,-0.4
CUURS37BSA0,1985,M02,1985 Feb,104.0,0.1,0.1
CUURS37BSA0,1985,M04,1985 Apr,104.5,0.5,0.5
CUURS37BSA0,1985,M06,1985 Jun,105.3,0.8,0.8
CUURS37BSA0,1985,M08,1985 Aug,105.4,0.1,0.1
CUURS37BSA0,1985,M10,1985 Oct,105.3,-0.1,-0.1
CUURS37BSA0,1985,M12,1985 Dec,105.0,-0.3,-0.3
CUURS37BSA0,1986,M02,1986 Feb,105.1,0.1,0.1
CUURS37BSA0,1986,M04,1986 Apr,102.9,-2.2,-2.1
CUURS37BSA0,1986,M06,1986 Jun,103.9,1.0,1.0
CUURS37BSA0,1986,M08,1986 Aug,103.8,-0.1,-0.1
CUURS37BSA0,1986,M10,1986 Oct,104.1,0.3,0.3
CUURS37BSA0,1986,M12,1986 Dec,103.2,-0.9,-0.9
CUURS37BSA0,1987,M02,1987 Feb,104.4,1.2,1.2
CUURS37BSA0,1987,M04,1987 Apr,106.4,2.0,1.9
CUURS37BSA0,1987,M06,1987 Jun,106.5,0.1,0.1
CUURS37BSA0,1987,M08,1987 Aug,107.3,0.8,0.8
CUURS37BSA0,1987,M10,1987 Oct,108.0,0.7,0.7
CUURS37BSA0,1987,M12,1987 Dec,107.3,-0.7,-0.6
CUURS37BSA0,1988,M02,1988 Feb,108.0,0.7,0.7
CUURS37BSA0,1988,M04,1988 Apr,108.2,0.2,0.2
CUURS37BSA0,1988,M06,1988 Jun,109.4,1.2,1.1
CUURS37BSA0,1988,M08,1988 Aug,110.3,0.9,0.8
CUURS37BSA0,1988,M10,1988 Oct,111.1,0.8,0.7
CUURS37BSA0,1988,M12,1988 Dec,111.3,0.2,0.2
CUURS37BSA0,1989,M02,1989 Feb,112.7,1.4,1.3
CUURS37BSA0,1989,M04,1989 Apr,113.2,0.5,0.4
CUURS37BSA0,1989,M06,1989 Jun,114.1,0.9,0.8
CUURS37BSA0,1989,M08,1989 Aug,114.4,0.3,0.3
CUURS37BSA0,1989,M10,1989 Oct,115.7,1.3,1.1
CUURS37BSA0,1989,M12,1989 Dec,115.5,-0.2,-0.2
CUURS37BSA0,1990,M02,1990 Feb,118.7,3.2,2.8
CUURS37BSA0,1990,M04,1990 Apr,118.3,-0.4,-0.3
CUURS37BSA0,1990,M06,1990 Jun,119.7,1.4,1.2
CUURS37BSA0,1990,M08,1990 Aug,121.5,1.8,1.5
CUURS37BSA0,1990,M10,1990 Oct,124.0,2.5,2.1
CUURS37BSA0,1990,M12,1990 Dec,123.0,-1.0,-0.8
CUURS37BSA0,1991,M02,1991 Feb,124.3,1.3,1.1
CUURS37BSA0,1991,M04,1991 Apr,123.5,-0.8,-0.6
CUURS37BSA0,1991,M06,1991 Jun,124.9,1.4,1.1
CUURS37BSA0,1991,M08,1991 Aug,124.8,-0.1,-0.1
CUURS37BSA0,1991,M10,1991 Oct,127.3,2.5,2.0
CUURS37BSA0,1991,M12,1991 Dec,127.0,-0.3,-0.2
CUURS37BSA0,1992,M02,1992 Feb,127.0,0.0,0.0
CUURS37BSA0,1992,M04,1992 Apr,128.7,1.7,1.3
CUURS37BSA0,1992,M06,1992 Jun,129.4,0.7,0.5
CUURS37BSA0,1992,M08,1992 Aug,129.9,0.5,0.4
CUURS37BSA0,1992,M10,1992 Oct,130.8,0.9,0.7
CUURS37BSA0,1992,M12,1992 Dec,129.3,-1.5,-1.1
CUURS37BSA0,1993,M02,1993 Feb,131.7,2.4,1.9
CUURS37BSA0,1993,M04,1993 Apr,131.8,0.1,0.1
CUURS37BSA0,1993,M06,1993 Jun,132.9,1.1,0.8
CUURS37BSA0,1993,M08,1993 Aug,133.0,0.1,0.1
CUURS37BSA0,1993,M10,1993 Oct,136.6,3.6,2.7
CUURS37BSA0,1993,M12,1993 Dec,136.5,-0.1,-0.1
CUURS37BSA0,1994,M02,1994 Feb,137.0,0.5,0.4
CUURS37BSA0,1994,M04,1994 Apr,136.8,-0.2,-0.1
CUURS37BSA0,1994,M06,1994 Jun,137.4,0.6,0.4
CUURS37BSA0,1994,M08,1994 Aug,139.2,1.8,1.3
CUURS37BSA0,1994,M10,1994 Oct,139.3,0.1,0.1
CUURS37BSA0,1994,M12,1994 Dec,137.8,-1.5,-1.1
CUURS37BSA0,1995,M02,1995 Feb,139.3,1.5,1.1
CUURS37BSA0,1995,M04,1995 Apr,138.0,-1.3,-0.9
CUURS37BSA0,1995,M06,1995 Jun,139.9,1.9,1.4
CUURS37BSA0,1995,M08,1995 Aug,140.1,0.2,0.1
CUURS37BSA0,1995,M10,1995 Oct,141.6,1.5,1.1
