Series ID,Year,Period,Label,Value,Change in Index,Inflation_Rate
CUURS35BSAF1,1980,M01,1980 Jan,81.2,0,0
CUURS35BSAF1,1980,M03,1980 Mar,81.7,-0.5,-0.6
CUURS35BSAF1,1980,M05,1980 May,82.5,-0.8,-1.0
CUURS35BSAF1,1980,M07,1980 Jul,84.6,-2.1,-2.5
CUURS35BSAF1,1980,M09,1980 Sep,87.1,-2.5,-3.0
CUURS35BSAF1,1980,M11,1980 Nov,88.4,-1.3,-1.5
CUURS35BSAF1,1981,M01,1981 Jan,89.3,-0.9,-1.0
CUURS35BSAF1,1981,M03,1981 Mar,89.6,-0.3,-0.3
CUURS35BSAF1,1981,M05,1981 May,89.8,-0.2,-0.2
CUURS35BSAF1,1981,M07,1981 Jul,91.0,-1.2,-1.3
CUURS35BSAF1,1981,M09,1981 Sep,92.9,-1.9,-2.1
CUURS35BSAF1,1981,M11,1981 Nov,93.8,-0.9,-1.0
CUURS35BSAF1,1982,M01,1982 Jan,94.8,-1.0,-1.1
CUURS35BSAF1,1982,M03,1982 Mar,95.7,-0.9,-0.9
CUURS35BSAF1,1982,M05,1982 May,96.8,-1.1,-1.1
CUURS35BSAF1,1982,M07,1982 Jul,97.7,-0.9,-0.9
CUURS35BSAF1,1982,M09,1982 Sep,97.8,-0.1,-0.1
CUURS35BSAF1,1982,M11,1982 Nov,96.9,0.9,0.9
CUURS35BSAF1,1983,M01,1983 Jan,97.8,-0.9,-0.9
CUURS35BSAF1,1983,M03,1983 Mar,98.9,-1.1,-1.1
CUURS35BSAF1,1983,M05,1983 May,99.0,-0.1,-0.1
CUURS35BSAF1,1983,M07,1983 Jul,98.9,0.1,0.1
CUURS35BSAF1,1983,M09,1983 Sep,100.1,-1.2,-1.2
CUURS35BSAF1,1983,M11,1983 Nov,100.7,-0.6,-0.6
CUURS35BSAF1,1984,M01,1984 Jan,104.1,-3.4,-3.4
CUURS35BSAF1,1984,M03,1984 Mar,104.2,-0.1,-0.1
CUURS35BSAF1,1984,M05,1984 May,102.7,1.5,1.4
CUURS35BSAF1,1984,M07,1984 Jul,103.4,-0.7,-0.7
CUURS35BSAF1,1984,M09,1984 Sep,103.6,-0.2,-0.2
CUURS35BSAF1,1984,M11,1984 Nov,104.4,-0.8,-0.8
CUURS35BSAF1,1985,M01,1985 Jan,104.2,0.2,0.2
CUURS35BSAF1,1985,M03,1985 Mar,105.3,-1.1,-1.1
CUURS35BSAF1,1985,M05,1985 May,103.6,1.7,1.6
CUURS35BSAF1,1985,M07,1985 Jul,104.6,-1.0,-1.0
CUURS35BSAF1,1985,M09,1985 Sep,104.1,0.5,0.5
CUURS35BSAF1,1985,M11,1985 Nov,104.7,-0.6,-0.6
CUURS35BSAF1,1986,M01,1986 Jan,106.2,-1.5,-1.4
CUURS35BSAF1,1986,M03,1986 Mar,106.8,-0.6,-0.6
CUURS35BSAF1,1986,M05,1986 May,106.9,-0.1,-0.1
CUURS35BSAF1,1986,M07,1986 Jul,102.9,4.0,3.7
CUURS35BSAF1,1986,M09,1986 Sep,108.4,-5.5,-5.3
CUURS35BSAF1,1986,M11,1986 Nov,110.1,-1.7,-1.6
CUURS35BSAF1,1987,M01,1987 Jan,110.9,-0.8,-0.7
CUURS35BSAF1,1987,M03,1987 Mar,112.8,-1.9,-1.7
CUURS35BSAF1,1987,M05,1987 May,114.6,-1.8,-1.6
CUURS35BSAF1,1987,M07,1987 Jul,114.1,0.5,0.4
CUURS35BSAF1,1987,M09,1987 Sep,113.9,0.2,0.2
CUURS35BSAF1,1987,M11,1987 Nov,113.9,0.0,0.0
CUURS35BSAF1,1988,M01,1988 Jan,115.3,-1.4,-1.2
CUURS35BSAF1,1988,M03,1988 Mar,117.5,-2.2,-1.9
CUURS35BSAF1,1988,M05,1988 May,118.1,-0.6,-0.5
CUURS35BSAF1,1988,M07,1988 Jul,118.8,-0.7,-0.6
CUURS35BSAF1,1988,M09,1988 Sep,122.0,-3.2,-2.7
CUURS35BSAF1,1988,M11,1988 Nov,122.8,-0.8,-0.7
CUURS35BSAF1,1989,M01,1989 Jan,123.5,-0.7,-0.6
CUURS35BSAF1,1989,M03,1989 Mar,124.1,-0.6,-0.5
CUURS35BSAF1,1989,M05,1989 May,125.0,-0.9,-0.7
CUURS35BSAF1,1989,M07,1989 Jul,127.7,-2.7,-2.2
CUURS35BSAF1,1989,M09,1989 Sep,127.3,0.4,0.3
CUURS35BSAF1,1989,M11,1989 Nov,129.8,-2.5,-2.0
CUURS35BSAF1,1990,M01,1990 Jan,136.2,-6.4,-4.9
CUURS35BSAF1,1990,M03,1990 Mar,136.2,0.0,0.0
CUURS35BSAF1,1990,M05,1990 May,134.2,2.0,1.5
CUURS35BSAF1,1990,M07,1990 Jul,135.7,-1.5,-1.1
CUURS35BSAF1,1990,M09,1990 Sep,135.6,0.1,0.1
CUURS35BSAF1,1990,M11,1990 Nov,137.7,-2.1,-1.5
CUURS35BSAF1,1991,M01,1991 Jan,136.7,1.0,0.7
CUURS35BSAF1,1991,M03,1991 Mar,138.6,-1.9,-1.4
CUURS35BSAF1,1991,M05,1991 May,139.6,-1.0,-0.7
CUURS35BSAF1,1991,M07,1991 Jul,140.0,-0.4,-0.3
CUURS35BSAF1,1991,M09,1991 Sep,139.2,0.8,0.6
CUURS35BSAF1,1991,M11,1991 Nov,138.8,0.4,0.3
CUURS35BSAF1,1992,M01,1992 Jan,139.5,-0.7,-0.5
CUURS35BSAF1,1992,M03,1992 Mar,141.5,-2.0,-1.4
CUURS35BSAF1,1992,M05,1992 May,139.7,1.8,1.3
CUURS35BSAF1,1992,M07,1992 Jul,140.6,-0.9,-0.6
CUURS35BSAF1,1992,M09,1992 Sep,142.9,-2.3,-1.6
CUURS35BSAF1,1992,M11,1992 Nov,141.9,1.0,0.7
