EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
5126948,MIAMI-DADE CO.,MIAMI BEACH,01/03/2000,1300,Rip Current, , ,0,1,0,0,FL,EST, ,1090010,C,86,MFL,0,0,BROADCAST MEDIA, , , , , , , ,MIAMI BEACH,01/03/2000,1600, , , , 
5127494,MIAMI-DADE CO.,KEY BISCAYNE,02/22/2000,915,Tornado, ,F0,0,0,0,0,FL,EST, ,1090205,C,86,MFL,0,0,NWS EMPLOYEE(OFF DUTY), ,0.1,10, , , , ,KEY BISCAYNE,02/22/2000,916,25.66667,-80.21667,25.66667,-80.21667
5127495,MIAMI-DADE CO.,KEY BISCAYNE,02/24/2000,1000,Funnel Cloud, , ,0,0,0,0,FL,EST, ,1090206,C,86,MFL,0,0,METEOROLOGIST(NON NWS), , , ,1,E,1,E,KEY BISCAYNE,02/24/2000,1000, , , , 
5137871,MIAMI-DADE CO.,HOMESTEAD,04/05/2000,1940,Wildfire, , ,0,0,100000,0,FL,EST, ,1092947,C,86,MFL,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , ,HOMESTEAD,04/05/2000,1940, , , , 
5137875,MIAMI-DADE CO.,KENDALL,04/12/2000,1400,Funnel Cloud, , ,0,0,0,0,FL,EST, ,1092951,C,86,MFL,0,0,GENERAL PUBLIC, , , , , , , ,KENDALL,04/12/2000,1400, , , , 
5137879,MIAMI-DADE CO.,MIAMI,04/14/2000,1300,Flash Flood, , ,0,0,10000,0,FL,EST, ,1092955,C,86,MFL,0,0,METEOROLOGIST(NON NWS), , , , , , , ,MIAMI,04/14/2000,1300, , , , 
5140004,MIAMI-DADE CO.,MIAMI INTL,04/16/2000,1514,Tornado, ,F0,0,0,0,0,FL,EST, ,1092959,C,86,MFL,0,0,AIRPLANE PILOT, ,0.1,10,19,NW,19,NW,MIAMI INTL,04/16/2000,1514,26,-80.5,26,-80.5
5140005,MIAMI-DADE CO.,MIAMI BEACH,04/22/2000,1130,Waterspout, , ,0,0,0,0,FL,EST, ,1092960,C,86,MFL,0,0,AIRPLANE PILOT, , , ,50,E,50,E,MIAMI BEACH,04/22/2000,1130, , , , 
5140006,MIAMI-DADE CO.,MIAMI BEACH,04/24/2000,835,Waterspout, , ,0,0,0,0,FL,EST, ,1092961,C,86,MFL,0,0,GENERAL PUBLIC, , , ,2,E,2,E,MIAMI BEACH,04/24/2000,835, , , , 
5139080,MIAMI-DADE CO.,MIAMI,05/15/2000,1640,Thunderstorm Wind,70, ,0,0,0,0,FL,EST,M,1093213,C,86,MFL,0,0,GOVT OFFICIAL, , , , , , , ,MIAMI,05/15/2000,1640,25.76667,-80.2,25.76667,-80.2
