DATE,deaths,injuries
1953-09-20,0,0
1953-11-08,0,0
1954-04-03,0,0
1954-06-23,0,0
1955-10-18,0,0
1956-04-10,0,0
1956-10-15,0,0
1957-03-15,0,0
1957-08-03,0,0
1957-08-04,0,0
1957-10-08,0,0
1958-08-27,0,0
1959-06-17,0,77
1959-06-29,0,0
1960-09-26,0,0
1960-10-13,0,0
1962-06-05,0,0
1962-09-05,0,0
1962-11-09,0,1
1963-03-29,0,0
1963-06-03,0,0
1963-06-05,0,0
1964-04-30,0,0
1964-05-03,0,0
1964-07-31,0,0
1964-08-13,0,0
1964-10-14,0,0
1965-03-04,0,0
1965-07-17,0,0
1966-03-29,0,0
1966-04-09,0,0
1966-05-25,0,0
1966-06-01,0,0
1966-06-08,0,0
1967-06-09,0,0
1968-02-19,0,21
1968-05-19,0,0
1968-06-07,0,1
1968-06-25,0,0
1968-08-30,0,0
1968-09-12,0,0
1968-10-04,0,0
1968-10-16,0,0
1969-01-04,0,0
1969-02-12,0,0
1969-06-10,0,0
1969-08-10,0,0
1969-10-17,0,0
1970-03-05,0,0
1971-06-12,0,0
1971-06-22,0,0
1971-08-09,0,0
1972-11-15,0,0
1973-06-23,0,0
1973-12-20,0,9
1974-05-07,0,0
1974-05-08,0,0
1974-09-13,0,0
1975-05-09,0,0
1975-06-29,0,0
1975-07-04,0,1
1975-08-26,0,0
1976-08-19,0,0
1977-05-04,0,0
1977-05-08,0,0
1977-05-27,0,0
1977-06-08,0,0
1977-06-18,0,0
1978-01-19,0,0
1978-03-03,0,0
1978-04-23,0,0
1978-05-05,0,0
1978-05-18,0,0
1978-08-24,0,0
1978-12-28,0,0
1979-02-25,0,0
1979-04-29,0,0
1980-04-07,0,0
1980-05-24,0,0
1980-05-25,0,0
1980-06-11,0,0
1980-07-15,0,0
1980-08-21,0,0
1980-09-09,0,0
1980-11-15,0,0
1981-05-07,0,0
1981-07-09,0,0
1981-08-10,0,0
1981-08-16,0,0
1981-09-26,0,0
1982-01-14,0,0
1982-02-10,0,0
1982-03-06,0,4
1982-04-24,0,0
1982-04-28,0,0
1982-05-27,0,0
1982-06-17,0,0
1982-08-06,0,0
1982-08-12,0,0
1982-09-21,0,0
1982-09-23,0,0
1983-02-02,0,0
1983-02-10,0,0
1983-02-16,0,0
1983-03-17,0,0
1983-03-24,0,0
1983-05-31,0,0
1983-06-08,0,0
1983-06-18,0,0
1983-07-18,0,0
1983-08-05,0,0
1983-08-28,0,0
1983-12-16,0,0
1984-04-13,0,0
1984-05-16,0,0
1984-07-25,0,0
1985-05-16,0,0
1985-05-26,0,0
1985-06-30,0,0
1985-07-09,0,0
1985-07-10,0,0
1985-08-05,0,0
1986-02-07,0,0
1986-03-10,0,0
1986-03-15,0,0
1986-03-26,0,0
1986-05-21,0,0
1986-08-11,0,0
1986-09-04,0,0
1987-01-04,0,0
1987-01-22,0,0
1987-03-31,0,0
1987-04-15,0,0
1987-06-27,0,0
1987-09-30,0,0
1987-12-08,0,0
1989-04-05,0,0
1989-04-30,0,0
1989-05-15,0,0
1989-05-24,0,0
1989-06-30,0,0
1989-08-14,0,0
1989-08-16,0,0
1989-08-17,0,0
1990-04-03,0,0
1990-04-08,0,0
1990-05-10,0,0
1990-06-04,0,0
1990-06-19,0,0
1990-06-24,0,0
1990-06-27,0,0
1990-08-10,0,0
1990-08-11,0,0
1990-08-18,0,0
1990-10-09,0,0
1990-10-23,0,0
1991-01-15,0,4
1991-04-25,0,0
1991-06-26,0,0
1991-07-12,0,0
1991-07-13,0,1
1991-07-21,0,0
1991-07-26,0,0
1991-08-04,0,0
