DATE,deaths,injuries
1950-02-11,2,24
1953-08-15,0,0
1954-04-15,0,0
1955-07-11,0,0
1956-01-31,0,0
1957-04-16,0,0
1958-05-29,0,0
1958-07-22,0,0
1958-08-14,0,0
1959-04-01,0,0
1959-04-08,0,0
1959-11-23,0,0
1960-02-17,0,6
1960-07-20,0,0
1960-10-18,0,0
1961-02-16,0,0
1961-08-08,0,0
1961-09-11,0,44
1962-06-04,0,0
1962-06-12,0,0
1962-08-09,0,0
1962-08-16,0,0
1963-05-28,0,0
1963-06-22,0,0
1963-08-20,0,0
1964-03-19,0,0
1964-04-17,2,4
1964-04-26,0,0
1964-07-25,0,0
1965-02-09,0,0
1965-04-19,0,0
1965-06-05,0,0
1965-07-13,0,0
1966-02-09,0,0
1966-02-10,0,0
1966-04-14,0,0
1966-04-17,0,0
1966-05-18,0,0
1966-06-18,0,0
1967-09-21,0,6
1967-10-29,0,0
1967-12-02,0,0
1968-04-22,0,0
1968-05-11,0,0
1968-05-17,0,0
1968-05-26,0,0
1968-11-05,0,0
1968-11-15,0,0
1969-04-27,0,0
1969-05-05,0,0
1969-07-15,0,0
1969-09-08,0,0
1969-10-30,0,0
1970-02-01,0,0
1970-03-17,0,0
1970-05-15,0,0
1970-07-04,0,2
1970-08-04,0,0
1970-09-17,0,0
1970-10-11,0,0
1970-10-27,0,2
1971-03-09,0,8
1971-05-11,0,0
1971-06-20,0,40
1971-07-29,0,16
1971-08-08,0,0
1971-08-25,0,0
1972-03-20,0,0
1972-05-12,0,14
1972-06-16,0,0
1972-07-04,0,0
1972-08-11,0,0
1972-11-18,0,0
1973-02-13,0,2
1973-04-25,0,0
1973-04-26,0,0
1973-06-05,0,0
1973-06-12,0,0
1973-11-20,0,0
1974-06-05,0,0
1974-07-14,0,0
1974-08-29,0,0
1974-09-02,0,0
1974-09-12,0,0
1974-10-28,2,14
1974-10-31,0,2
1974-11-01,0,0
1975-05-11,0,0
1975-05-29,0,0
1975-06-09,0,0
1975-06-10,0,0
1975-06-30,0,0
1975-08-02,0,0
1975-09-03,0,0
1975-10-23,0,0
1976-02-21,0,0
1976-05-07,0,2
1976-05-31,0,0
1976-08-17,0,0
1976-08-24,0,0
1976-09-01,0,0
1977-05-02,0,0
1977-07-28,0,0
1977-09-06,0,0
1977-09-11,0,0
1977-09-12,0,0
1977-09-13,0,0
1977-11-08,0,0
1977-12-13,2,70
1978-05-02,0,0
1978-05-29,0,0
1978-06-06,0,0
1978-06-07,0,0
1978-06-13,0,0
1978-07-05,0,0
1978-07-16,0,0
1978-08-05,0,0
1979-04-03,0,0
1979-04-18,0,0
1979-04-19,0,0
1979-05-22,0,0
1979-05-29,0,0
1979-05-30,0,0
1979-07-10,0,0
1979-07-12,0,0
1979-09-01,0,0
1979-09-18,0,2
1979-10-30,0,0
1980-05-15,0,0
1980-05-16,0,0
1980-05-17,0,0
1980-06-22,0,0
1980-08-27,0,0
1980-09-06,0,0
1980-09-08,0,0
1980-10-15,0,0
1980-10-18,0,0
1980-10-28,0,0
1981-03-21,0,0
1981-04-23,0,0
1981-05-03,0,0
1981-05-09,0,0
1981-05-14,0,0
1981-06-02,0,0
1981-07-10,0,0
1981-08-04,0,0
1981-10-11,0,2
1981-10-25,0,0
1982-04-20,0,0
1982-05-13,0,0
1982-06-26,0,0
1982-07-21,0,0
1982-09-03,2,4
1983-02-09,0,6
1983-03-20,0,0
1983-03-30,0,4
1983-05-09,0,0
1983-05-20,6,28
1983-05-21,0,0
1983-07-15,0,0
1983-08-17,0,0
1983-08-18,0,0
1983-11-23,0,0
1983-12-10,0,0
1984-02-12,0,0
1984-03-12,0,0
1984-05-07,0,0
1984-06-06,0,0
1984-07-18,0,0
1984-07-24,0,0
1984-08-06,0,4
1984-10-22,0,0
1984-12-31,0,106
1985-02-10,0,0
1985-04-26,0,0
1985-06-11,0,0
1985-07-02,0,0
1985-07-03,0,0
1985-08-20,0,0
1986-02-05,4,0
1986-05-17,0,0
1986-10-12,0,0
1987-02-15,0,0
1987-05-04,0,0
1987-05-08,0,0
1987-05-16,0,0
1987-06-16,0,0
1987-07-02,0,0
1987-07-24,0,0
1987-09-12,0,0
1987-11-16,0,0
1987-11-25,0,0
1987-12-06,0,0
1987-12-19,0,0
1988-03-17,0,0
1988-07-27,0,0
1988-10-01,0,0
1989-03-20,0,0
1989-03-29,0,0
1989-04-30,0,0
1989-05-17,0,0
1989-05-18,0,0
1989-10-15,0,0
1990-02-01,0,0
1990-02-09,0,0
1990-03-29,0,10
1990-04-14,0,0
1990-04-27,0,2
1990-05-22,0,0
1990-06-25,0,0
