Series ID,Year,Period,Label,Pre-Value,Value,Change in Index,Inflation_Rate
CUURS49BSA0,1980,M02,1980 Feb,78.3,78.3,0,0
CUURS49BSA0,1980,M04,1980 Apr,79.2,79.2,0.9,1.1
CUURS49BSA0,1980,M06,1980 Jun,80.7,80.7,1.5,1.9
CUURS49BSA0,1980,M08,1980 Aug,81.6,81.6,0.9,1.1
CUURS49BSA0,1980,M10,1980 Oct,81.9,81.9,0.3,0.4
CUURS49BSA0,1980,M12,1980 Dec,82.9,82.9,1.0,1.2
CUURS49BSA0,1981,M02,1981 Feb,84.7,84.7,1.8,2.2
CUURS49BSA0,1981,M04,1981 Apr,87.9,87.9,3.2,3.8
CUURS49BSA0,1981,M06,1981 Jun,89.1,89.1,1.2,1.4
CUURS49BSA0,1981,M08,1981 Aug,93.6,93.6,4.5,5.1
CUURS49BSA0,1981,M10,1981 Oct,96.6,96.6,3.0,3.2
CUURS49BSA0,1981,M12,1981 Dec,95.6,95.6,-1.0,-1.0
CUURS49BSA0,1982,M02,1982 Feb,96.2,96.2,0.6,0.6
CUURS49BSA0,1982,M04,1982 Apr,97.2,97.2,1.0,1.0
CUURS49BSA0,1982,M06,1982 Jun,99.1,99.1,1.9,2.0
CUURS49BSA0,1982,M08,1982 Aug,99.0,99.0,-0.1,-0.1
CUURS49BSA0,1982,M10,1982 Oct,98.4,98.4,-0.6,-0.6
CUURS49BSA0,1982,M12,1982 Dec,95.6,95.6,-2.8,-2.8
CUURS49BSA0,1983,M02,1983 Feb,96.7,96.7,1.1,1.2
CUURS49BSA0,1983,M04,1983 Apr,97.4,97.4,0.7,0.7
CUURS49BSA0,1983,M06,1983 Jun,98.6,98.6,1.2,1.2
CUURS49BSA0,1983,M08,1983 Aug,99.5,99.5,0.9,0.9
CUURS49BSA0,1983,M10,1983 Oct,99.4,99.4,-0.1,-0.1
CUURS49BSA0,1983,M12,1983 Dec,100.0,100.0,0.6,0.6
CUURS49BSA0,1984,M02,1984 Feb,101.4,101.4,1.4,1.4
