Series ID,Year,Period,Label,Pre-Value,Value,Change in Index,Inflation_Rate
CUURS49BSAF1,1980,M02,1980 Feb,82.2,82.2,0,0
CUURS49BSAF1,1980,M04,1980 Apr,83.3,83.3,1.1,1.3
CUURS49BSAF1,1980,M06,1980 Jun,83.7,83.7,0.4,0.5
CUURS49BSAF1,1980,M08,1980 Aug,85.4,85.4,1.7,2.0
CUURS49BSAF1,1980,M10,1980 Oct,87.3,87.3,1.9,2.2
CUURS49BSAF1,1980,M12,1980 Dec,88.9,88.9,1.6,1.8
CUURS49BSAF1,1981,M02,1981 Feb,89.7,89.7,0.8,0.9
CUURS49BSAF1,1981,M04,1981 Apr,90.7,90.7,1.0,1.1
CUURS49BSAF1,1981,M06,1981 Jun,89.8,89.8,-0.9,-1.0
CUURS49BSAF1,1981,M08,1981 Aug,92.3,92.3,2.5,2.8
CUURS49BSAF1,1981,M10,1981 Oct,91.9,91.9,-0.4,-0.4
CUURS49BSAF1,1981,M12,1981 Dec,92.3,92.3,0.4,0.4
CUURS49BSAF1,1982,M02,1982 Feb,95.6,95.6,3.3,3.6
CUURS49BSAF1,1982,M04,1982 Apr,96.0,96.0,0.4,0.4
CUURS49BSAF1,1982,M06,1982 Jun,97.3,97.3,1.3,1.4
CUURS49BSAF1,1982,M08,1982 Aug,97.7,97.7,0.4,0.4
CUURS49BSAF1,1982,M10,1982 Oct,98.9,98.9,1.2,1.2
CUURS49BSAF1,1982,M12,1982 Dec,97.5,97.5,-1.4,-1.4
CUURS49BSAF1,1983,M02,1983 Feb,98.1,98.1,0.6,0.6
CUURS49BSAF1,1983,M04,1983 Apr,99.9,99.9,1.8,1.8
CUURS49BSAF1,1983,M06,1983 Jun,98.8,98.8,-1.1,-1.1
CUURS49BSAF1,1983,M08,1983 Aug,98.7,98.7,-0.1,-0.1
CUURS49BSAF1,1983,M10,1983 Oct,99.5,99.5,0.8,0.8
CUURS49BSAF1,1983,M12,1983 Dec,100.7,100.7,1.2,1.2
CUURS49BSAF1,1984,M02,1984 Feb,102.9,102.9,2.2,2.2
CUURS49BSAF1,1984,M04,1984 Apr,103.6,103.6,0.7,0.7
CUURS49BSAF1,1984,M06,1984 Jun,103.7,103.7,0.1,0.1
CUURS49BSAF1,1984,M08,1984 Aug,104.2,104.2,0.5,0.5
CUURS49BSAF1,1984,M10,1984 Oct,104.8,104.8,0.6,0.6
CUURS49BSAF1,1984,M12,1984 Dec,105.6,105.6,0.8,0.8
CUURS49BSAF1,1985,M02,1985 Feb,106.4,106.4,0.8,0.8
CUURS49BSAF1,1985,M04,1985 Apr,106.0,106.0,-0.4,-0.4
CUURS49BSAF1,1985,M06,1985 Jun,105.5,105.5,-0.5,-0.5
CUURS49BSAF1,1985,M08,1985 Aug,106.2,106.2,0.7,0.7
CUURS49BSAF1,1985,M10,1985 Oct,105.1,105.1,-1.1,-1.0
CUURS49BSAF1,1985,M12,1985 Dec,107.0,107.0,1.9,1.8
CUURS49BSAF1,1986,M02,1986 Feb,107.7,107.7,0.7,0.7
CUURS49BSAF1,1986,M04,1986 Apr,108.7,108.7,1.0,0.9
CUURS49BSAF1,1986,M06,1986 Jun,109.0,109.0,0.3,0.3
CUURS49BSAF1,1986,M08,1986 Aug,110.6,110.6,1.6,1.5
CUURS49BSAF1,1986,M10,1986 Oct,111.0,111.0,0.4,0.4
CUURS49BSAF1,1986,M12,1986 Dec,110.7,110.7,-0.3,-0.3
CUURS49BSAF1,1987,M02,1987 Feb,112.0,111.4,0.4,0.3
CUURS49BSAF1,1987,M04,1987 Apr,113.9,113.0,2.3,2.0
CUURS49BSAF1,1987,M06,1987 Jun,114.5,114.2,2.9,2.6
CUURS49BSAF1,1987,M08,1987 Aug,114.4,114.5,1.5,1.3
CUURS49BSAF1,1987,M10,1987 Oct,114.3,114.4,0.2,0.1
CUURS49BSAF1,1987,M12,1987 Dec,116.4,115.4,0.9,0.8
CUURS49BSAF1,1988,M02,1988 Feb,117.1,116.8,2.4,2.1
CUURS49BSAF1,1988,M04,1988 Apr,119.1,118.1,2.8,2.4
CUURS49BSAF1,1988,M06,1988 Jun,120.7,119.9,3.2,2.7
CUURS49BSAF1,1988,M08,1988 Aug,122.1,121.4,3.3,2.8
CUURS49BSAF1,1988,M10,1988 Oct,123.6,122.9,3.0,2.5
CUURS49BSAF1,1988,M12,1988 Dec,125.2,124.4,3.0,2.5
CUURS49BSAF1,1989,M02,1989 Feb,127.6,126.4,3.6,2.9
CUURS49BSAF1,1989,M04,1989 Apr,127.9,127.8,3.4,2.7
CUURS49BSAF1,1989,M06,1989 Jun,128.6,128.3,1.9,1.5
CUURS49BSAF1,1989,M08,1989 Aug,129.0,128.8,1.1,0.8
CUURS49BSAF1,1989,M10,1989 Oct,130.9,130.0,1.7,1.3
