EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
9990177,SAN MATEO CO., ,04/01/1958,225,Tornado,0, ,0,0,25000,0,CA,CST, , ,C,81, ,0,0, , ,0.2,67,0, ,0, , ,04/01/1958,225,37.62,-122.35, , 
9991265,SAN MATEO CO., ,02/19/1980,430,Thunderstorm Wind,0, ,0,0,0,0,CA,CST, , ,C,81,ONE,0,0, , ,0,0,0, ,0, , ,02/19/1980,430,37.63,-122.45, , 
9992394,SAN MATEO CO., ,11/30/1982,300,Thunderstorm Wind,59, ,0,0,0,0,CA,CST, , ,C,81,AT,0,0, , ,0,0,0, ,0, , ,11/30/1982,300,37.62,-122.38, , 
9989070,SAN MATEO CO., ,03/10/1986,1345,Tornado,0,F0,0,0,30,0,CA,PST, , ,C,81, ,0,0, , ,0.2,50,0, ,0, , ,03/10/1986,1345,37.52,-122.52, , 
5580919,SAN MATEO CO.,REDWOOD CITY,03/04/1996,1444,Heavy Rain, ,F0,0,0,0,0,CA,PST, ,2053317,C,81,MTR,0,0, , ,0.1,1, , , , ,REDWOOD CITY,03/04/1996,1445, , , , 
5575582,SAN MATEO CO.,SAN MATEO,12/10/1996,0,Flood, , ,0,0,0,0,CA,PST, ,2055988,C,81,MTR,0,0, , , , , , , , ,SAN MATEO,12/10/1996,1800, , , , 
5623728,SAN MATEO CO.,SOUTHWEST PORTION,01/01/1997,120,Flash Flood, , ,0,0,0,0,CA,PST, ,2071997,C,81,MTR,0,0, , , , , , , , ,SOUTHWEST PORTION,01/01/1997,1130, , , , 
5623731,SAN MATEO CO.,SOUTHWEST PORTION,01/01/1997,731,Flash Flood, , ,0,0,0,0,CA,PST, ,2071997,C,81,MTR,0,0, , , , , , , , ,SOUTHWEST PORTION,01/01/1997,1130, , , , 
5624212,SAN MATEO CO.,COUNTYWIDE,01/01/1997,900,Flash Flood, , ,0,0,0,0,CA,PST, ,2072000,C,81,MTR,0,0, , , , , , , , ,COUNTYWIDE,01/01/1997,1200, , , , 
5624219,SAN MATEO CO.,SOUTHWEST PORTION,01/01/1997,1040,Flash Flood, , ,0,0,0,0,CA,PST, ,2072001,C,81,MTR,0,0, , , , , , , , ,SOUTHWEST PORTION,01/01/1997,1400, , , , 
